clip,gloss,signer,split,source
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_5183.MOV,HAPPY,signer00,train,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_5184.MOV,HAPPY,signer00,train,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_5185.MOV,HAPPY,signer00,train,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_5263.MOV,HAPPY,signer01,train,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_5264.MOV,HAPPY,signer01,train,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_5265.MOV,HAPPY,signer01,train,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_5341.MOV,HAPPY,signer02,val,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_5342.MOV,HAPPY,signer02,val,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_5343.MOV,HAPPY,signer02,val,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_9295.MOV,HAPPY,signer03,test,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_9296.MOV,HAPPY,signer03,test,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_9297.MOV,HAPPY,signer03,test,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_9374.MOV,HAPPY,signer04,train,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_9375.MOV,HAPPY,signer04,train,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_9376.MOV,HAPPY,signer04,train,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_9454.MOV,HAPPY,signer05,train,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_9455.MOV,HAPPY,signer05,train,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_9456.MOV,HAPPY,signer05,train,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_9540.MOV,HAPPY,signer06,train,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_9541.MOV,HAPPY,signer06,train,include
E:/datasets/INCLUDE/extracted/Adjectives/3. happy/MVI_9542.MOV,HAPPY,signer06,train,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_5123.MOV,BIG,signer00,train,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_5124.MOV,BIG,signer00,train,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_5125.MOV,BIG,signer00,train,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_5203.MOV,BIG,signer01,train,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_5204.MOV,BIG,signer01,train,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_5205.MOV,BIG,signer01,train,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_5283.MOV,BIG,signer02,val,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_5284.MOV,BIG,signer02,val,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_5285.MOV,BIG,signer02,val,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_9233.MOV,BIG,signer03,test,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_9234.MOV,BIG,signer03,test,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_9235.MOV,BIG,signer03,test,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_9316.MOV,BIG,signer04,train,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_9317.MOV,BIG,signer04,train,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_9318.MOV,BIG,signer04,train,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_9394.MOV,BIG,signer05,train,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_9395.MOV,BIG,signer05,train,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_9396.MOV,BIG,signer05,train,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_9475.MOV,BIG,signer06,train,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_9476.MOV,BIG,signer06,train,include
E:/datasets/INCLUDE/extracted/Adjectives/83. big large/MVI_9477.MOV,BIG,signer06,train,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_5126.MOV,SMALL,signer00,train,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_5127.MOV,SMALL,signer00,train,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_5128.MOV,SMALL,signer00,train,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_5206.MOV,SMALL,signer01,train,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_5207.MOV,SMALL,signer01,train,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_5208.MOV,SMALL,signer01,train,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_5286.MOV,SMALL,signer02,val,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_5287.MOV,SMALL,signer02,val,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_5288.MOV,SMALL,signer02,val,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_9236.MOV,SMALL,signer03,test,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_9237.MOV,SMALL,signer03,test,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_9238.MOV,SMALL,signer03,test,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_9319.MOV,SMALL,signer04,train,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_9320.MOV,SMALL,signer04,train,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_9321.MOV,SMALL,signer04,train,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_9397.MOV,SMALL,signer05,train,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_9398.MOV,SMALL,signer05,train,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_9400.MOV,SMALL,signer05,train,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_9478.MOV,SMALL,signer06,train,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_9479.MOV,SMALL,signer06,train,include
E:/datasets/INCLUDE/extracted/Adjectives/84. small little/MVI_9480.MOV,SMALL,signer06,train,include
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_5139.MOV,COLD,signer00,train,include
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_5140.MOV,COLD,signer00,train,include
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_5219.MOV,COLD,signer01,train,include
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_5220.MOV,COLD,signer01,train,include
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_5221.MOV,COLD,signer01,train,include
E:/datasets/INCLUDE/extracted/Adjectives/88. cold/MVI_5298.MOV,COLD,signer02,val,include
